PID,Naphids,Thujene,Pinene,Camphene,Sabinene,Terpinene.alpha,oCymene,Limonene,Terpinene.gamma,Thujone,Eucaliptol,Terpineol.beta,SabineneHydrate,L.Camphor,Terpineol4,Terpineol,Dihydrocarvone,Copaene,Caryophyllene,Cubebene,Amorphene,GermacreneD,Sesquiphellandrene
P1,1,0.0499,0.0155,0.0153,0.0811,0.0064,0,0.0012,0.0275,-0.0001,0.0459,0.0944,0.0138,0.2949,0.0099,0.0012,0.0003,0.002,0,0.0733,0.005,0.0028,0.0001
P3,1,0.0023,0.014,0.0306,0.015,0.0001,0.001,0.0001,0.0018,0.0001,0.0457,0.0001,0.002,0.3265,0.0009,0.0027,0.0002,0.0011,0,0.0245,0.0022,0.0004,0
P7,1,0.0017,0.0024,0.0131,0.0443,0.0002,0.0139,0,0.0012,0.2923,0.017,0.0022,0.0019,0.2189,0.0007,0.0007,0.0003,0.0019,0,0.0512,0.0038,0.0019,0.0002
P12,1,0.0232,0.0045,0.0137,0.1186,0.0048,0.0354,0.001,0.0135,0.0001,0.3927,0.0755,0.0145,0.3657,0.0031,0.0024,0.0007,0.0014,0,0.0441,0.0028,0.0008,0
P15,1,0.0031,0.0082,0.0343,0.034,0.0002,0.01,0,0.0018,0.0002,0.0248,0.0005,0.0022,0.5095,0.0009,0.0013,0.0003,0.0016,0,0.0368,0.0029,0.0012,0.0012
P16,1,0.0024,0.0049,0.0275,0.0095,0.0001,0.0145,0.0015,0.0005,0.003,0.0052,0.0001,0.0013,0.3159,0.0009,0.0007,0.0002,0.0013,0,0.039,0.0028,0.002,0.0001
P17,1,0.023,0.0029,0.0196,0.0783,0.0084,0.0412,0.0002,0.0224,0,0.4692,0.1352,0.0307,0.5743,0.0137,0.0007,0.001,0.0017,0,0.0489,0.0037,0.0007,0
P19,1,0.02,0.0051,0.0028,0.0612,0.0053,0.0088,0.0006,0.0149,0.0001,0.5103,0.0438,0.0124,0.0011,0.0032,0.002,0.0009,0.0015,0,0.0155,0.0013,0.0008,0.005
P21,1,0.043,0.0071,0.0103,0.0947,0.0065,0.0134,0.0005,0.0227,0,0.3282,0.5847,0.0358,0.0026,0.0091,0.0015,0.0022,0.0039,0,0.1989,0.0076,0.0022,0
P22,1,0.1846,0.0079,0.0001,0.2387,0.0313,0,0.0012,0.0907,0.0003,0.1337,0.0857,0.0193,0.0005,0.016,0.0006,0.0004,0.0021,0,0.0594,0.0041,0.0024,0.002
P24,1,0.0514,0.0041,0,0.0823,0.0074,0.0171,0.0005,0.0234,0,0.1852,0.299,0.0359,0.0001,0.0125,0.0011,0.0013,0.0024,0,0.0847,0.0046,0.0009,0
P26,1,0.0042,0.0043,0.0519,0.069,0.0005,0.0022,0,0.0026,0,0.5963,0.01,0.0137,2.5774,0.0014,0.0012,0.001,0.002,0,0.0307,0.0026,0.0024,0.0006
P27,1,0.0099,0.0154,0.0001,0.0283,0.0019,0.0085,0,0.0062,0.0003,0.2626,0.0479,0.0161,0.0002,0.0052,0.0021,0.0011,0.0018,0,0.0374,0.0027,0.0004,0.0018
P29,1,0.0005,0.036,0.0009,0.0299,0.0004,0.0005,0,0.0012,0.0026,0.4153,0.0052,0.0071,0,0.0003,0.0102,0.0012,0.002,0,0.0643,0.004,0.003,0.0021
P30,1,0.0293,0.0277,0.0007,0.1149,0.008,0.0359,0.0018,0.0281,0.0001,0.804,0.1349,0.019,0,0.0067,0.0114,0.001,0.0019,0,0.0706,0.004,0.0031,0
P31,1,0.0017,0.0015,0.0276,0.0474,0.0001,0.0006,0,0.0009,0.0003,0.0854,0.0004,0.0024,1.5537,0.0003,0.001,0.0014,0.0022,0.002,0.0146,0.0016,0,0
P34,1,0.0037,0.0003,0,0.0501,0.001,0.0046,0,0.0028,0.9646,0.0067,0.0069,0.0024,0,0.001,0,0.0007,0.0011,0,0.033,0.0024,0,0.0004
P38,1,0.0232,0.0046,0.0044,0.0721,0.0032,0.0185,0.0002,0.013,0,0.4712,0.0724,0.0219,0.0012,0.0047,0.0006,0.001,0.002,0,0.062,0.0045,0.0022,0
P39,1,0.013,0.0301,0.0003,0.0444,0.0029,0.0154,0.0004,0.0109,0.0012,0.3567,0.0651,0.0166,0,0.0055,0.0046,0.0006,0.001,0.0014,0.0222,0.0014,0.0006,0.0001
P42,1,0.0161,0.004,0.0067,0.0336,0.0043,0.0172,0.0003,0.0181,0,0.1336,0.0676,0.0087,0.0043,0.0024,0.0002,0.0008,0.0015,0.001,0.0331,0.0028,0.0014,0.0011
P43,1,0.001,0.0015,0.0068,0.0446,0.0002,0.005,0,0.0015,0.13,0.0086,0.0012,0.0007,0.0725,0.0004,0.0009,0.0002,0.0013,0,0.0324,0.0022,0.0013,0.0002
P48,1,0.0291,0.0053,0.0175,0.0761,0.0041,0,0.0006,0.0179,0,0.0531,0.0373,0.0055,0.2062,0.0037,0.0023,0.0003,0.0018,0.0035,0.0562,0.0042,0.0031,0.0026
P49,1,0.021,0.0025,0.0235,0.0836,0.011,0.0267,0.0004,0.0305,0.0001,0.3319,0.1501,0.0189,0.9009,0.0088,0.0004,0.0052,0.011,0.0434,0.2072,0.0073,0,0
P50,1,0.0059,0.0065,0.0154,0.01,0.0017,0.0077,0.0001,0.0082,0.0002,0.0206,0.019,0.0095,0.2302,0.0074,0,0.0004,0.0013,0,0.028,0.0023,0.0006,0
P55,1,0.0162,0.0061,0.0127,0.0237,0.0019,0,0,0.008,0.0001,0.023,0.0365,0.0077,0.1845,0.0065,0.0003,0.0004,0.002,0,0.0736,0.0045,0.003,0.0002
P59,1,0.0376,0.0028,0,0.0694,0.0052,0.0194,0.0006,0.0197,0.0001,0.2219,0.0531,0.0112,0,0.0059,0.0003,0.0018,0.0037,0.0029,0.0492,0.0027,0,0.0034
P60,1,0.0082,0.0013,0,0.0326,0.0016,0.0188,0.0001,0.006,0.349,0.0347,0.0331,0.007,0.0004,0.0047,0.0004,0.0005,0.0019,0,0.0584,0.0035,0.0021,0.0007
P61,1,0.0007,0.0008,0,0.0167,0.0002,0.0055,0,0.0015,0.2506,0.0076,0.0166,0.003,0,0.0016,0.0001,0.0006,0.0019,0,0.0614,0.0039,0.0023,0.0007
P63,1,0.0033,0.0078,0.0361,0.0504,0.0004,0.0061,0,0.0017,0.0005,0.1194,0.0036,0.0053,0.7141,0.002,0.002,0.0006,0.002,0,0.0835,0.005,0.0029,0.0005
P64,1,0.023,0.0024,0,0.0862,0.0041,0.0086,0.0001,0.0134,0,0.0921,0.0297,0.0085,0.0001,0.0053,0.0002,0.0005,0.0016,0,0.0415,0.0032,0.0012,0.0035
P65,1,0.0097,0.0022,0.01,0.0271,0.0017,0.0224,0.0001,0.0074,0,0.0326,0.0342,0.0083,0.1431,0.0057,0.0005,0.0022,0.0081,0,0.0985,0.0055,0.0033,0.0001
P69,1,0.0381,0.0036,0,0.0744,0.0054,0.0168,0.0005,0.0173,0,0.1886,0.0272,0.0116,0,0.0052,0.0005,0.0004,0.0007,0,0.0137,0.0013,0.0005,0.0004
P70,1,0.0009,0.0016,0.0073,0.0402,0.0001,0.0045,0,0.0011,0.2329,0.002,0.0015,0.0009,0.0925,0.0005,0.0006,0.0006,0.0033,0,0.0906,0.0059,0.0041,0.0004
P71,1,0.0049,0.0009,0,0.0169,0.002,0.0166,0.0001,0.0059,0.9434,0.0576,0.0226,0.0072,0,0.0039,0,0.001,0.0016,0,0.0664,0.0037,0.0004,0
P73,1,0.0374,0.0046,0,0.0729,0.0156,0.0133,0.0006,0.0492,0.0002,0.1651,0.2768,0.0299,0,0.0228,0.001,0.0024,0.0054,0,0.1018,0.0044,0,0
P78,1,0.0121,0.0022,0,0.0556,0.0092,0.0209,0.0003,0.0239,0.7883,0.012,0.1731,0.009,0.0005,0.004,0.0003,0.0005,0.0013,0.003,0.0581,0.0031,0.0013,0
P80,1,0.0606,0.0029,0,0.0767,0.0204,0.0329,0.0006,0.0535,0.0002,0.15,0.2095,0.0241,0.0001,0.0117,0.0004,0.0007,0.0017,0,0.0704,0.0032,0.0008,0.0006
P81,1,0.0172,0.0066,0.0197,0.0262,0.003,0.0093,0.0001,0.0115,0,0.0996,0.0611,0.016,0.3228,0.003,0,0.0007,0.001,0,0.0171,0.002,0,0
P85,1,0.0027,0.0046,0.037,0.0615,0.0005,0.0242,0,0.0033,0.0019,0.183,0.0061,0.0088,1.731,0.0014,0.0061,0.0012,0.0024,0,0.0775,0.004,0,0.0075
P86,1,0.0013,0.0024,0,0.0505,0.0003,0.0113,0.0001,0.0014,1.1329,0.0052,0.004,0.0044,0,0.0016,0,0.0006,0.0014,0.0007,0.0218,0.0018,0.0009,0.0002
P88,1,0.0033,0,0,0.0162,0.0006,0.0138,0,0.0024,1.3953,0.0452,0.0157,0.0065,0.0001,0.0023,0.0001,0.0007,0.0012,0,0.0393,0.0024,0.0027,0
P90,1,0.0171,0.0215,0.0004,0.0623,0.0031,0.0109,0,0.011,0.0002,0.4095,0.0652,0.0196,0,0.0076,0.0068,0.0005,0.0011,0,0.0284,0.0019,0.0014,0.0001
P92,1,0.0136,0.003,0.0193,0.0232,0.0076,0.0118,0.0003,0.0185,0,0.1113,0.0824,0.0082,0.7999,0.0025,0.001,0.0004,0.001,0,0.0131,0.0013,0.0011,0.0001
P93,1,0.024,0.0078,0.0048,0.056,0.005,0,0.0004,0.0182,0,0.0954,0.0471,0.0127,0.036,0.0122,0.0014,0.0004,0.0022,0,0.0596,0.0038,0.0026,0.0003
P94,1,0.01,0.0012,0,0.02,0.0028,0.0075,0.0001,0.0082,0,0.0478,0.0062,0.0064,0.0001,0.007,0.0001,0.0005,0.0018,0,0.0469,0.0037,0.0016,0.0019
P96,1,0.0095,0.0022,0.0001,0.0561,0.0018,0.0123,0.0002,0.0086,0.2583,0.0185,0.0349,0.01,0.0013,0.0087,0.0004,0.0003,0.0018,0,0.0525,0.0038,0.0023,0
P98,1,0.0009,0.0015,0.0001,0.0442,0.0002,0.0128,0,0.0009,0.2679,0.0044,0.0022,0.0022,0,0.0016,0.0004,0.0008,0.0025,0,0.0903,0.0057,0.0035,0.0003
P99,1,0.0009,0.001,0.0002,0.2813,0.0003,0.012,0.0004,0.0026,0.9251,0.0149,0.0015,0.0024,0.0006,0.0005,0.0011,0.0005,0.001,0,0.0341,0.0021,0.0023,0
P103,1,0.033,0.0031,0,0.0531,0.0073,0.0088,0.0004,0.0273,0,0.1458,0.2143,0.0259,0.0002,0.0113,0.0007,0.0018,0.0033,0,0.0512,0.0025,0.0002,0
P107,1,0.0032,0.0008,0,0.0184,0.0006,0.0054,0,0.0038,0.9624,0.0067,0.0243,0.0027,0.0003,0.0009,0.0002,0.003,0.0057,0,0.0741,0.0039,0,0.0021
P112,1,0.0361,0.0044,0,0.0852,0.0055,0.0238,0.0004,0.0217,0.0005,0.3704,0.2294,0.0358,0,0.0149,0.0012,0.0041,0.0078,0,0.2709,0.0076,0,0
P117,1,0.0048,0.0038,0.0266,0.2515,0.0016,0.0176,0.0001,0.0067,0.0001,0.0348,0.422,0.0169,1.2665,0.0024,0.0013,0.0009,0.0017,0,0.1242,0.0046,0,0.0022
P121,1,0.0706,0.0076,0,0.1135,0.01,0,0.0014,0.037,0,0.0934,0.0694,0.0139,0,0.0144,0.0018,0.0003,0.0017,0,0.0734,0.0045,0.0032,0.0023
P122,1,0.0128,0.005,0.0004,0.0228,0.0018,0,0.0046,0.0063,0.0008,0.0044,0.0389,0.0086,0.0002,0.0086,0.0009,0.0002,0.0014,0.0036,0.037,0.0025,0.0019,0
P123,1,0.025,0.0016,0.0222,0.0715,0.0029,0.0181,0,0.01,0,0.1705,0.1029,0.0204,0.8385,0.0058,0.0003,0.001,0.0022,0,0.0827,0.0043,0.0026,0.0011
P128,1,0.0994,0.0097,0.0001,0.283,0.0088,0.0243,0.0014,0.039,0.0009,1.1537,0.3171,0.0688,0.0002,0.0203,0.0028,0.0012,0.0021,0,0.0761,0.0042,0.0034,0.0001
P129,1,0.0331,0.0045,0,0.0585,0.0223,0.0379,0.0007,0.0589,0,0.1651,0.0651,0.0294,0.0001,0.0189,0.0006,0.0013,0.0023,0,0.0536,0.0039,0,0.0017
P133,1,0.0486,0.0041,0.0001,0.0983,0.0057,0.0138,0.0003,0.0212,0,0.382,0.0618,0.0231,0,0.0069,0.0002,0.0007,0.0012,0,0.0241,0.0021,0,0
P134,1,0.0007,0.0015,0.0001,0.0367,0.0002,0,0,0.0009,0.2105,0.03,0.0024,0.002,0.0004,0.0012,0.0008,0.0004,0.0023,0,0.0714,0.0042,0.0029,0.0006
P139,1,0.0154,0.0157,0.0003,0.0325,0.0018,0,0,0.0075,0.0001,0.0522,0.0308,0.0097,0,0.0086,0.0017,0.0003,0.0018,0,0.0557,0.0033,0.0021,0.0002
P141,1,0.0217,0.0044,0.0002,0.0333,0.0028,0,0.0115,0.0119,0.0012,0.0051,0.0342,0.0044,0,0.004,0.0009,0.0003,0.0016,0.0035,0.0478,0.0031,0.0024,0.0005
P146,1,0.0499,0.0155,0.0153,0.0811,0.0064,0,0.0012,0.0275,-0.0001,0.0459,0.0944,0.0138,0.2949,0.0099,0.0012,0.0003,0.002,0,0.0733,0.005,0.0028,0.0001
P149,1,0.0499,0.0155,0.0153,0.0811,0.0064,0,0.0012,0.0275,-0.0001,0.0459,0.0944,0.0138,0.2949,0.0099,0.0012,0.0003,0.002,0,0.0733,0.005,0.0028,0.0001
P152,1,0.0499,0.0155,0.0153,0.0811,0.0064,0,0.0012,0.0275,-0.0001,0.0459,0.0944,0.0138,0.2949,0.0099,0.0012,0.0003,0.002,0,0.0733,0.005,0.0028,0.0001
P155,1,0.0066,0.0024,0.0002,0.0123,0.0018,0.0128,0.0033,0.0054,0.0009,0.0089,0.0176,0.004,0.0002,0.0044,0.0005,0.0003,0.0019,0.0041,0.0477,0.0036,0.0027,0.0001
P156,1,0.0023,0.014,0.0306,0.015,0.0001,0.001,0.0001,0.0018,0.0001,0.0457,0.0001,0.002,0.3265,0.0009,0.0027,0.0002,0.0011,0,0.0245,0.0022,0.0004,0
P158,1,0.0023,0.014,0.0306,0.015,0.0001,0.001,0.0001,0.0018,0.0001,0.0457,0.0001,0.002,0.3265,0.0009,0.0027,0.0002,0.0011,0,0.0245,0.0022,0.0004,0
P161,1,0.0023,0.014,0.0306,0.015,0.0001,0.001,0.0001,0.0018,0.0001,0.0457,0.0001,0.002,0.3265,0.0009,0.0027,0.0002,0.0011,0,0.0245,0.0022,0.0004,0
P162,1,0.0017,0.0024,0.0131,0.0443,0.0002,0.0139,0,0.0012,0.2923,0.017,0.0022,0.0019,0.2189,0.0007,0.0007,0.0003,0.0019,0,0.0512,0.0038,0.0019,0.0002
P164,1,0.0017,0.0024,0.0131,0.0443,0.0002,0.0139,0,0.0012,0.2923,0.017,0.0022,0.0019,0.2189,0.0007,0.0007,0.0003,0.0019,0,0.0512,0.0038,0.0019,0.0002
P167,1,0.0017,0.0024,0.0131,0.0443,0.0002,0.0139,0,0.0012,0.2923,0.017,0.0022,0.0019,0.2189,0.0007,0.0007,0.0003,0.0019,0,0.0512,0.0038,0.0019,0.0002
P170,1,0.0023,0.012,0.0588,0.0146,0.0002,0.0122,0,0.0011,0,0.3072,0.004,0.0065,1.5159,0.0013,0.0017,0.0006,0.0015,0,0.0366,0.0024,0.0012,0.0008
P171,1,0.0022,0.0067,0.0223,0.0126,0.0002,0.0079,0.0051,0.0011,0.0005,0.0128,0,0.001,0.2492,0.0007,0.0018,0.0003,0.0019,0.0029,0.0539,0.004,0.0028,0.0002
P172,1,0.0007,0.0033,0.0072,0.0247,0,0.002,0,0.0006,0.1298,0.0058,0.0003,0.0007,0.074,0.0005,0.0003,0.0002,0.0014,0,0.0355,0.0026,0.0012,0.0005
P175,1,0.0024,0.0049,0.0275,0.0095,0.0001,0.0145,0.0015,0.0005,0.003,0.0052,0.0001,0.0013,0.3159,0.0009,0.0007,0.0002,0.0013,0,0.039,0.0028,0.002,0.0001
P176,1,0.0024,0.0049,0.0275,0.0095,0.0001,0.0145,0.0015,0.0005,0.003,0.0052,0.0001,0.0013,0.3159,0.0009,0.0007,0.0002,0.0013,0,0.039,0.0028,0.002,0.0001
P179,1,0.02,0.0051,0.0028,0.0612,0.0053,0.0088,0.0006,0.0149,0.0001,0.5103,0.0438,0.0124,0.0011,0.0032,0.002,0.0009,0.0015,0,0.0155,0.0013,0.0008,0.005
P180,1,0.1846,0.0079,0.0001,0.2387,0.0313,0,0.0012,0.0907,0.0003,0.1337,0.0857,0.0193,0.0005,0.016,0.0006,0.0004,0.0021,0,0.0594,0.0041,0.0024,0.002
P183,1,0.1846,0.0079,0.0001,0.2387,0.0313,0,0.0012,0.0907,0.0003,0.1337,0.0857,0.0193,0.0005,0.016,0.0006,0.0004,0.0021,0,0.0594,0.0041,0.0024,0.002
P186,1,0.0118,0.0024,0,0.0813,0.0016,0.0229,0.0002,0.0065,0.1807,0.006,0.03,0.0067,0.0001,0.0068,0.0002,0.0002,0.0011,0,0.0237,0.0018,0.0009,0.0002
P189,1,0.0037,0.0003,0,0.0501,0.001,0.0046,0,0.0028,0.9646,0.0067,0.0069,0.0024,0,0.001,0,0.0007,0.0011,0,0.033,0.0024,0,0.0004
P191,1,0.0037,0.0003,0,0.0501,0.001,0.0046,0,0.0028,0.9646,0.0067,0.0069,0.0024,0,0.001,0,0.0007,0.0011,0,0.033,0.0024,0,0.0004
P193,1,0.0037,0.0003,0,0.0501,0.001,0.0046,0,0.0028,0.9646,0.0067,0.0069,0.0024,0,0.001,0,0.0007,0.0011,0,0.033,0.0024,0,0.0004
P196,1,0.013,0.0301,0.0003,0.0444,0.0029,0.0154,0.0004,0.0109,0.0012,0.3567,0.0651,0.0166,0,0.0055,0.0046,0.0006,0.001,0.0014,0.0222,0.0014,0.0006,0.0001
P197,1,0.013,0.0301,0.0003,0.0444,0.0029,0.0154,0.0004,0.0109,0.0012,0.3567,0.0651,0.0166,0,0.0055,0.0046,0.0006,0.001,0.0014,0.0222,0.0014,0.0006,0.0001
P199,1,0.013,0.0301,0.0003,0.0444,0.0029,0.0154,0.0004,0.0109,0.0012,0.3567,0.0651,0.0166,0,0.0055,0.0046,0.0006,0.001,0.0014,0.0222,0.0014,0.0006,0.0001
P201,1,0.013,0.0301,0.0003,0.0444,0.0029,0.0154,0.0004,0.0109,0.0012,0.3567,0.0651,0.0166,0,0.0055,0.0046,0.0006,0.001,0.0014,0.0222,0.0014,0.0006,0.0001
P203,1,0.0043,0,0,0.0386,0.0008,0.0046,0,0.0025,0.5066,0.0111,0.0124,0.0027,0,0.001,0,0.0009,0.0015,0,0.0537,0.0028,0,0
P206,1,0.0291,0.0053,0.0175,0.0761,0.0041,0,0.0006,0.0179,0,0.0531,0.0373,0.0055,0.2062,0.0037,0.0023,0.0003,0.0018,0.0035,0.0562,0.0042,0.0031,0.0026
P208,1,0.0291,0.0053,0.0175,0.0761,0.0041,0,0.0006,0.0179,0,0.0531,0.0373,0.0055,0.2062,0.0037,0.0023,0.0003,0.0018,0.0035,0.0562,0.0042,0.0031,0.0026
P211,1,0.0291,0.0053,0.0175,0.0761,0.0041,0,0.0006,0.0179,0,0.0531,0.0373,0.0055,0.2062,0.0037,0.0023,0.0003,0.0018,0.0035,0.0562,0.0042,0.0031,0.0026
P214,1,0.0059,0.0065,0.0154,0.01,0.0017,0.0077,0.0001,0.0082,0.0002,0.0206,0.019,0.0095,0.2302,0.0074,0,0.0004,0.0013,0,0.028,0.0023,0.0006,0
P217,1,0.0078,0.0019,0,0.0485,0.0014,0,0.0002,0.0066,0.0938,0.0082,0.0235,0.0048,0,0.0056,0.0006,0.0004,0.0026,0,0.0782,0.0048,0.0033,0.0001
P219,1,0.0082,0.0013,0,0.0326,0.0016,0.0188,0.0001,0.006,0.349,0.0347,0.0331,0.007,0.0004,0.0047,0.0004,0.0005,0.0019,0,0.0584,0.0035,0.0021,0.0007
P222,1,0.0082,0.0013,0,0.0326,0.0016,0.0188,0.0001,0.006,0.349,0.0347,0.0331,0.007,0.0004,0.0047,0.0004,0.0005,0.0019,0,0.0584,0.0035,0.0021,0.0007
P225,1,0.0082,0.0013,0,0.0326,0.0016,0.0188,0.0001,0.006,0.349,0.0347,0.0331,0.007,0.0004,0.0047,0.0004,0.0005,0.0019,0,0.0584,0.0035,0.0021,0.0007
P227,1,0.0007,0.0008,0,0.0167,0.0002,0.0055,0,0.0015,0.2506,0.0076,0.0166,0.003,0,0.0016,0.0001,0.0006,0.0019,0,0.0614,0.0039,0.0023,0.0007
P230,1,0.0007,0.0008,0,0.0167,0.0002,0.0055,0,0.0015,0.2506,0.0076,0.0166,0.003,0,0.0016,0.0001,0.0006,0.0019,0,0.0614,0.0039,0.0023,0.0007
P233,1,0.0007,0.0008,0,0.0167,0.0002,0.0055,0,0.0015,0.2506,0.0076,0.0166,0.003,0,0.0016,0.0001,0.0006,0.0019,0,0.0614,0.0039,0.0023,0.0007
P236,1,0.0064,0.0007,0,0.0256,0.0011,0.0159,0.0001,0.0043,0.2333,0.0117,0.0114,0.0032,0,0.0019,0,0.0004,0.0012,0,0.0295,0.0021,0.0011,0.0009
P238,1,0.004,0.0007,0,0.0139,0.0011,0.0131,0,0.0032,0.1817,0.025,0.0124,0.0059,0,0.005,0.0001,0.0007,0.0025,0,0.0886,0.0056,0.0036,0
P241,1,0.0381,0.0036,0,0.0744,0.0054,0.0168,0.0005,0.0173,0,0.1886,0.0272,0.0116,0,0.0052,0.0005,0.0004,0.0007,0,0.0137,0.0013,0.0005,0.0004
P244,1,0.0374,0.0046,0,0.0729,0.0156,0.0133,0.0006,0.0492,0.0002,0.1651,0.2768,0.0299,0,0.0228,0.001,0.0024,0.0054,0,0.1018,0.0044,0,0
P247,1,0.0121,0.0022,0,0.0556,0.0092,0.0209,0.0003,0.0239,0.7883,0.012,0.1731,0.009,0.0005,0.004,0.0003,0.0005,0.0013,0.003,0.0581,0.0031,0.0013,0
P249,1,0.009,0.0016,0,0.0602,0.0014,0.016,0.0002,0.0078,0.1911,0.0176,0.0216,0.0034,0,0.0022,0.0004,0.0005,0.0019,0,0.0606,0.0039,0.0027,0
P252,1,0.0606,0.0029,0,0.0767,0.0204,0.0329,0.0006,0.0535,0.0002,0.15,0.2095,0.0241,0.0001,0.0117,0.0004,0.0007,0.0017,0,0.0704,0.0032,0.0008,0.0006
P255,1,0.0606,0.0029,0,0.0767,0.0204,0.0329,0.0006,0.0535,0.0002,0.15,0.2095,0.0241,0.0001,0.0117,0.0004,0.0007,0.0017,0,0.0704,0.0032,0.0008,0.0006
P258,1,0.0028,0.003,0.034,0.0447,0.0004,0.0027,0,0.0014,0.0002,0.379,0.0072,0.0098,1.5546,0.0015,0.0002,0.0008,0.0015,0,0.0324,0.0025,0.0005,0
P259,1,0.0028,0.003,0.034,0.0447,0.0004,0.0027,0,0.0014,0.0002,0.379,0.0072,0.0098,1.5546,0.0015,0.0002,0.0008,0.0015,0,0.0324,0.0025,0.0005,0
P261,1,0.0028,0.003,0.034,0.0447,0.0004,0.0027,0,0.0014,0.0002,0.379,0.0072,0.0098,1.5546,0.0015,0.0002,0.0008,0.0015,0,0.0324,0.0025,0.0005,0
P263,1,0.0427,0.0055,0,0.0646,0.0185,0,0.0007,0.054,0,0.0528,0.4369,0.072,0,0.0328,0.001,0.0053,0.0095,0,0.1651,0.0063,0.0018,0
P266,1,0.0019,0.0038,0.0296,0.0516,0.0001,0.0077,0,0.0014,0.0001,0.1563,0.0023,0.0058,1.1463,0.004,0.0072,0.0013,0.0026,0,0.0778,0.004,0.002,0
P269,1,0.0448,0.0559,0.0004,0.0703,0.0085,0.0731,0.0007,0.0338,0,0.1397,0.566,0.0714,0,0.0216,0.0068,0.0008,0.0016,0,0.0264,0.0021,0.0013,0
P270,1,0.0013,0.0024,0,0.0505,0.0003,0.0113,0.0001,0.0014,1.1329,0.0052,0.004,0.0044,0,0.0016,0,0.0006,0.0014,0.0007,0.0218,0.0018,0.0009,0.0002
