PID,Naphids,Thujene,Pinene,Camphene,Sabinene,Terpinene.alpha,oCymene,Limonene,Terpinene.gamma,Thujone,Eucaliptol,Terpineol.beta,SabineneHydrate,L.Camphor,Terpineol4,Terpineol,Dihydrocarvone,Copaene,Caryophyllene,Cubebene,Amorphene,GermacreneD,Sesquiphellandrene
P295,2,0.033,0.0031,0,0.0531,0.0073,0.0088,0.0004,0.0273,0,0.1458,0.2143,0.0259,0.0002,0.0113,0.0007,0.0018,0.0033,0,0.0512,0.0025,0.0002,0
P298,2,0.033,0.0031,0,0.0531,0.0073,0.0088,0.0004,0.0273,0,0.1458,0.2143,0.0259,0.0002,0.0113,0.0007,0.0018,0.0033,0,0.0512,0.0025,0.0002,0
P301,2,0.033,0.0031,0,0.0531,0.0073,0.0088,0.0004,0.0273,0,0.1458,0.2143,0.0259,0.0002,0.0113,0.0007,0.0018,0.0033,0,0.0512,0.0025,0.0002,0
P304,2,0.0032,0.0008,0,0.0184,0.0006,0.0054,0,0.0038,0.9624,0.0067,0.0243,0.0027,0.0003,0.0009,0.0002,0.003,0.0057,0,0.0741,0.0039,0,0.0021
P307,2,0.0048,0.0038,0.0266,0.2515,0.0016,0.0176,0.0001,0.0067,0.0001,0.0348,0.422,0.0169,1.2665,0.0024,0.0013,0.0009,0.0017,0,0.1242,0.0046,0,0.0022
P311,2,0.0167,0.0023,0.0174,0.0664,0.0025,0.0179,0.0002,0.0114,0.0003,0.1342,0.13,0.0127,0.4954,0.004,0.0017,0.003,0.0058,0,0.1438,0.005,0.001,0.0002
P314,2,0.0167,0.0023,0.0174,0.0664,0.0025,0.0179,0.0002,0.0114,0.0003,0.1342,0.13,0.0127,0.4954,0.004,0.0017,0.003,0.0058,0,0.1438,0.005,0.001,0.0002
P319,2,0.0011,0.0013,0.0076,0.0305,0.0001,0.0072,0,0.0013,1.4686,0.005,0.0017,0.0021,0.2336,0.0002,0.0001,0.0022,0.0043,0,0.3242,0.0103,0,0
P322,2,0.0005,0.0007,0.0049,0.0337,0.0001,0,0,0.0008,0.5346,0.0047,0,0.0006,0.0706,0.0002,0,0.002,0.0038,0.001,0.0384,0.0024,0.0003,0.0016
P325,2,0.0005,0.0007,0.0049,0.0337,0.0001,0,0,0.0008,0.5346,0.0047,0,0.0006,0.0706,0.0002,0,0.002,0.0038,0.001,0.0384,0.0024,0.0003,0.0016
P328,2,0.0005,0.0007,0.0049,0.0337,0.0001,0,0,0.0008,0.5346,0.0047,0,0.0006,0.0706,0.0002,0,0.002,0.0038,0.001,0.0384,0.0024,0.0003,0.0016
P331,2,0.0005,0.0007,0.0049,0.0337,0.0001,0,0,0.0008,0.5346,0.0047,0,0.0006,0.0706,0.0002,0,0.002,0.0038,0.001,0.0384,0.0024,0.0003,0.0016
P333,2,0.0018,0.0071,0.0269,0.1121,0.0002,0.0257,0,0.0075,0.0002,0.6306,0.0117,0.0103,0.9837,0.0037,0.0243,0.0006,0.0014,0,0.0743,0.0035,0.0011,0.0008
P335,2,0.0203,0.0031,0.0225,0.0541,0.0036,0.02,0.0002,0.0127,0,0.2866,0.1403,0.0231,0.6718,0.0059,0.0018,0.0013,0.0026,0,0.0806,0.0052,0.0024,0
P338,2,0.0203,0.0031,0.0225,0.0541,0.0036,0.02,0.0002,0.0127,0,0.2866,0.1403,0.0231,0.6718,0.0059,0.0018,0.0013,0.0026,0,0.0806,0.0052,0.0024,0
P344,2,0.0038,0.0008,0,0.0263,0.0006,0.0088,0.0001,0.0027,0.5372,0.0324,0.029,0.0052,0,0.0024,0.0004,0.0005,0.0009,0.0023,0.0235,0.0016,0.002,0
P348,2,0.0072,0.0012,0,0.0223,0.0018,0.0169,0.0002,0.006,0.947,0.0707,0.0785,0.0175,0,0.0085,0.0008,0.0005,0.0008,0,0.0203,0.0013,0.0007,0.0009
P5,3,0.0023,0.014,0.0306,0.015,0.0001,0.001,0.0001,0.0018,0.0001,0.0457,0.0001,0.002,0.3265,0.0009,0.0027,0.0002,0.0011,0,0.0245,0.0022,0.0004,0
P9,3,0.0017,0.0024,0.0131,0.0443,0.0002,0.0139,0,0.0012,0.2923,0.017,0.0022,0.0019,0.2189,0.0007,0.0007,0.0003,0.0019,0,0.0512,0.0038,0.0019,0.0002
P14,3,0.0232,0.0045,0.0137,0.1186,0.0048,0.0354,0.001,0.0135,0.0001,0.3927,0.0755,0.0145,0.3657,0.0031,0.0024,0.0007,0.0014,0,0.0441,0.0028,0.0008,0
P33,3,0.0017,0.0015,0.0276,0.0474,0.0001,0.0006,0,0.0009,0.0003,0.0854,0.0004,0.0024,1.5537,0.0003,0.001,0.0014,0.0022,0.002,0.0146,0.0016,0,0
P36,3,0.0037,0.0003,0,0.0501,0.001,0.0046,0,0.0028,0.9646,0.0067,0.0069,0.0024,0,0.001,0,0.0007,0.0011,0,0.033,0.0024,0,0.0004
P41,3,0.013,0.0301,0.0003,0.0444,0.0029,0.0154,0.0004,0.0109,0.0012,0.3567,0.0651,0.0166,0,0.0055,0.0046,0.0006,0.001,0.0014,0.0222,0.0014,0.0006,0.0001
P45,3,0.001,0.0015,0.0068,0.0446,0.0002,0.005,0,0.0015,0.13,0.0086,0.0012,0.0007,0.0725,0.0004,0.0009,0.0002,0.0013,0,0.0324,0.0022,0.0013,0.0002
P52,3,0.0059,0.0065,0.0154,0.01,0.0017,0.0077,0.0001,0.0082,0.0002,0.0206,0.019,0.0095,0.2302,0.0074,0,0.0004,0.0013,0,0.028,0.0023,0.0006,0
P57,3,0.0162,0.0061,0.0127,0.0237,0.0019,0,0,0.008,0.0001,0.023,0.0365,0.0077,0.1845,0.0065,0.0003,0.0004,0.002,0,0.0736,0.0045,0.003,0.0002
P67,3,0.0097,0.0022,0.01,0.0271,0.0017,0.0224,0.0001,0.0074,0,0.0326,0.0342,0.0083,0.1431,0.0057,0.0005,0.0022,0.0081,0,0.0985,0.0055,0.0033,0.0001
P72,3,0.0049,0.0009,0,0.0169,0.002,0.0166,0.0001,0.0059,0.9434,0.0576,0.0226,0.0072,0,0.0039,0,0.001,0.0016,0,0.0664,0.0037,0.0004,0
P75,3,0.0374,0.0046,0,0.0729,0.0156,0.0133,0.0006,0.0492,0.0002,0.1651,0.2768,0.0299,0,0.0228,0.001,0.0024,0.0054,0,0.1018,0.0044,0,0
P83,3,0.0172,0.0066,0.0197,0.0262,0.003,0.0093,0.0001,0.0115,0,0.0996,0.0611,0.016,0.3228,0.003,0,0.0007,0.001,0,0.0171,0.002,0,0
P101,3,0.0009,0.001,0.0002,0.2813,0.0003,0.012,0.0004,0.0026,0.9251,0.0149,0.0015,0.0024,0.0006,0.0005,0.0011,0.0005,0.001,0,0.0341,0.0021,0.0023,0
P105,3,0.033,0.0031,0,0.0531,0.0073,0.0088,0.0004,0.0273,0,0.1458,0.2143,0.0259,0.0002,0.0113,0.0007,0.0018,0.0033,0,0.0512,0.0025,0.0002,0
P109,3,0.0032,0.0008,0,0.0184,0.0006,0.0054,0,0.0038,0.9624,0.0067,0.0243,0.0027,0.0003,0.0009,0.0002,0.003,0.0057,0,0.0741,0.0039,0,0.0021
P114,3,0.0361,0.0044,0,0.0852,0.0055,0.0238,0.0004,0.0217,0.0005,0.3704,0.2294,0.0358,0,0.0149,0.0012,0.0041,0.0078,0,0.2709,0.0076,0,0
P119,3,0.0048,0.0038,0.0266,0.2515,0.0016,0.0176,0.0001,0.0067,0.0001,0.0348,0.422,0.0169,1.2665,0.0024,0.0013,0.0009,0.0017,0,0.1242,0.0046,0,0.0022
P125,3,0.025,0.0016,0.0222,0.0715,0.0029,0.0181,0,0.01,0,0.1705,0.1029,0.0204,0.8385,0.0058,0.0003,0.001,0.0022,0,0.0827,0.0043,0.0026,0.0011
P131,3,0.0331,0.0045,0,0.0585,0.0223,0.0379,0.0007,0.0589,0,0.1651,0.0651,0.0294,0.0001,0.0189,0.0006,0.0013,0.0023,0,0.0536,0.0039,0,0.0017
P136,3,0.0007,0.0015,0.0001,0.0367,0.0002,0,0,0.0009,0.2105,0.03,0.0024,0.002,0.0004,0.0012,0.0008,0.0004,0.0023,0,0.0714,0.0042,0.0029,0.0006
P143,3,0.0217,0.0044,0.0002,0.0333,0.0028,0,0.0115,0.0119,0.0012,0.0051,0.0342,0.0044,0,0.004,0.0009,0.0003,0.0016,0.0035,0.0478,0.0031,0.0024,0.0005
P148,3,0.0499,0.0155,0.0153,0.0811,0.0064,0,0.0012,0.0275,-0.0001,0.0459,0.0944,0.0138,0.2949,0.0099,0.0012,0.0003,0.002,0,0.0733,0.005,0.0028,0.0001
P151,3,0.0499,0.0155,0.0153,0.0811,0.0064,0,0.0012,0.0275,-0.0001,0.0459,0.0944,0.0138,0.2949,0.0099,0.0012,0.0003,0.002,0,0.0733,0.005,0.0028,0.0001
P154,3,0.0499,0.0155,0.0153,0.0811,0.0064,0,0.0012,0.0275,-0.0001,0.0459,0.0944,0.0138,0.2949,0.0099,0.0012,0.0003,0.002,0,0.0733,0.005,0.0028,0.0001
P160,3,0.0023,0.014,0.0306,0.015,0.0001,0.001,0.0001,0.0018,0.0001,0.0457,0.0001,0.002,0.3265,0.0009,0.0027,0.0002,0.0011,0,0.0245,0.0022,0.0004,0
P166,3,0.0017,0.0024,0.0131,0.0443,0.0002,0.0139,0,0.0012,0.2923,0.017,0.0022,0.0019,0.2189,0.0007,0.0007,0.0003,0.0019,0,0.0512,0.0038,0.0019,0.0002
P169,3,0.0017,0.0024,0.0131,0.0443,0.0002,0.0139,0,0.0012,0.2923,0.017,0.0022,0.0019,0.2189,0.0007,0.0007,0.0003,0.0019,0,0.0512,0.0038,0.0019,0.0002
P174,3,0.0007,0.0033,0.0072,0.0247,0,0.002,0,0.0006,0.1298,0.0058,0.0003,0.0007,0.074,0.0005,0.0003,0.0002,0.0014,0,0.0355,0.0026,0.0012,0.0005
P178,3,0.0024,0.0049,0.0275,0.0095,0.0001,0.0145,0.0015,0.0005,0.003,0.0052,0.0001,0.0013,0.3159,0.0009,0.0007,0.0002,0.0013,0,0.039,0.0028,0.002,0.0001
P182,3,0.1846,0.0079,0.0001,0.2387,0.0313,0,0.0012,0.0907,0.0003,0.1337,0.0857,0.0193,0.0005,0.016,0.0006,0.0004,0.0021,0,0.0594,0.0041,0.0024,0.002
P185,3,0.1846,0.0079,0.0001,0.2387,0.0313,0,0.0012,0.0907,0.0003,0.1337,0.0857,0.0193,0.0005,0.016,0.0006,0.0004,0.0021,0,0.0594,0.0041,0.0024,0.002
P188,3,0.0118,0.0024,0,0.0813,0.0016,0.0229,0.0002,0.0065,0.1807,0.006,0.03,0.0067,0.0001,0.0068,0.0002,0.0002,0.0011,0,0.0237,0.0018,0.0009,0.0002
P195,3,0.0037,0.0003,0,0.0501,0.001,0.0046,0,0.0028,0.9646,0.0067,0.0069,0.0024,0,0.001,0,0.0007,0.0011,0,0.033,0.0024,0,0.0004
P205,3,0.0043,0,0,0.0386,0.0008,0.0046,0,0.0025,0.5066,0.0111,0.0124,0.0027,0,0.001,0,0.0009,0.0015,0,0.0537,0.0028,0,0
P210,3,0.0291,0.0053,0.0175,0.0761,0.0041,0,0.0006,0.0179,0,0.0531,0.0373,0.0055,0.2062,0.0037,0.0023,0.0003,0.0018,0.0035,0.0562,0.0042,0.0031,0.0026
P213,3,0.0291,0.0053,0.0175,0.0761,0.0041,0,0.0006,0.0179,0,0.0531,0.0373,0.0055,0.2062,0.0037,0.0023,0.0003,0.0018,0.0035,0.0562,0.0042,0.0031,0.0026
P216,3,0.0059,0.0065,0.0154,0.01,0.0017,0.0077,0.0001,0.0082,0.0002,0.0206,0.019,0.0095,0.2302,0.0074,0,0.0004,0.0013,0,0.028,0.0023,0.0006,0
P221,3,0.0082,0.0013,0,0.0326,0.0016,0.0188,0.0001,0.006,0.349,0.0347,0.0331,0.007,0.0004,0.0047,0.0004,0.0005,0.0019,0,0.0584,0.0035,0.0021,0.0007
P224,3,0.0082,0.0013,0,0.0326,0.0016,0.0188,0.0001,0.006,0.349,0.0347,0.0331,0.007,0.0004,0.0047,0.0004,0.0005,0.0019,0,0.0584,0.0035,0.0021,0.0007
P229,3,0.0007,0.0008,0,0.0167,0.0002,0.0055,0,0.0015,0.2506,0.0076,0.0166,0.003,0,0.0016,0.0001,0.0006,0.0019,0,0.0614,0.0039,0.0023,0.0007
P232,3,0.0007,0.0008,0,0.0167,0.0002,0.0055,0,0.0015,0.2506,0.0076,0.0166,0.003,0,0.0016,0.0001,0.0006,0.0019,0,0.0614,0.0039,0.0023,0.0007
P235,3,0.0007,0.0008,0,0.0167,0.0002,0.0055,0,0.0015,0.2506,0.0076,0.0166,0.003,0,0.0016,0.0001,0.0006,0.0019,0,0.0614,0.0039,0.0023,0.0007
P240,3,0.004,0.0007,0,0.0139,0.0011,0.0131,0,0.0032,0.1817,0.025,0.0124,0.0059,0,0.005,0.0001,0.0007,0.0025,0,0.0886,0.0056,0.0036,0
P243,3,0.0381,0.0036,0,0.0744,0.0054,0.0168,0.0005,0.0173,0,0.1886,0.0272,0.0116,0,0.0052,0.0005,0.0004,0.0007,0,0.0137,0.0013,0.0005,0.0004
P246,3,0.0374,0.0046,0,0.0729,0.0156,0.0133,0.0006,0.0492,0.0002,0.1651,0.2768,0.0299,0,0.0228,0.001,0.0024,0.0054,0,0.1018,0.0044,0,0
P251,3,0.009,0.0016,0,0.0602,0.0014,0.016,0.0002,0.0078,0.1911,0.0176,0.0216,0.0034,0,0.0022,0.0004,0.0005,0.0019,0,0.0606,0.0039,0.0027,0
P254,3,0.0606,0.0029,0,0.0767,0.0204,0.0329,0.0006,0.0535,0.0002,0.15,0.2095,0.0241,0.0001,0.0117,0.0004,0.0007,0.0017,0,0.0704,0.0032,0.0008,0.0006
P257,3,0.0606,0.0029,0,0.0767,0.0204,0.0329,0.0006,0.0535,0.0002,0.15,0.2095,0.0241,0.0001,0.0117,0.0004,0.0007,0.0017,0,0.0704,0.0032,0.0008,0.0006
P265,3,0.0427,0.0055,0,0.0646,0.0185,0,0.0007,0.054,0,0.0528,0.4369,0.072,0,0.0328,0.001,0.0053,0.0095,0,0.1651,0.0063,0.0018,0
P268,3,0.0019,0.0038,0.0296,0.0516,0.0001,0.0077,0,0.0014,0.0001,0.1563,0.0023,0.0058,1.1463,0.004,0.0072,0.0013,0.0026,0,0.0778,0.004,0.002,0
P272,3,0.0013,0.0024,0,0.0505,0.0003,0.0113,0.0001,0.0014,1.1329,0.0052,0.004,0.0044,0,0.0016,0,0.0006,0.0014,0.0007,0.0218,0.0018,0.0009,0.0002
P275,3,0.0033,0,0,0.0162,0.0006,0.0138,0,0.0024,1.3953,0.0452,0.0157,0.0065,0.0001,0.0023,0.0001,0.0007,0.0012,0,0.0393,0.0024,0.0027,0
P278,3,0.0033,0,0,0.0162,0.0006,0.0138,0,0.0024,1.3953,0.0452,0.0157,0.0065,0.0001,0.0023,0.0001,0.0007,0.0012,0,0.0393,0.0024,0.0027,0
P283,3,0.0092,0.0023,0.0181,0.0402,0.0059,0.009,0.0003,0.0144,0,0.1487,0.0405,0.0061,0.553,0.0024,0.001,0.0036,0.007,0,0.1014,0.0048,0.001,0.0003
P286,3,0.0007,0,0.0001,0.0242,0.0002,0.0063,0,0.0007,0.3963,0.005,0.0007,0.0016,0,0.0009,0,0.0009,0.0036,0,0.0291,0.0022,0.0009,0
P287,3,0.0007,0,0.0001,0.0242,0.0002,0.0063,0,0.0007,0.3963,0.005,0.0007,0.0016,0,0.0009,0,0.0009,0.0036,0,0.0291,0.0022,0.0009,0
P291,3,0.003,0.001,0.0001,0.0158,0.0015,0.0096,0,0.0045,1.4828,0.0607,0.0219,0.0081,0.0004,0.0042,0.0002,0.0014,0.0027,0,0.0609,0.0033,0.0017,0.0045
P296,3,0.033,0.0031,0,0.0531,0.0073,0.0088,0.0004,0.0273,0,0.1458,0.2143,0.0259,0.0002,0.0113,0.0007,0.0018,0.0033,0,0.0512,0.0025,0.0002,0
P299,3,0.033,0.0031,0,0.0531,0.0073,0.0088,0.0004,0.0273,0,0.1458,0.2143,0.0259,0.0002,0.0113,0.0007,0.0018,0.0033,0,0.0512,0.0025,0.0002,0
P302,3,0.033,0.0031,0,0.0531,0.0073,0.0088,0.0004,0.0273,0,0.1458,0.2143,0.0259,0.0002,0.0113,0.0007,0.0018,0.0033,0,0.0512,0.0025,0.0002,0
P305,3,0.0032,0.0008,0,0.0184,0.0006,0.0054,0,0.0038,0.9624,0.0067,0.0243,0.0027,0.0003,0.0009,0.0002,0.003,0.0057,0,0.0741,0.0039,0,0.0021
P308,3,0.0048,0.0038,0.0266,0.2515,0.0016,0.0176,0.0001,0.0067,0.0001,0.0348,0.422,0.0169,1.2665,0.0024,0.0013,0.0009,0.0017,0,0.1242,0.0046,0,0.0022
P312,3,0.0167,0.0023,0.0174,0.0664,0.0025,0.0179,0.0002,0.0114,0.0003,0.1342,0.13,0.0127,0.4954,0.004,0.0017,0.003,0.0058,0,0.1438,0.005,0.001,0.0002
P315,3,0.0167,0.0023,0.0174,0.0664,0.0025,0.0179,0.0002,0.0114,0.0003,0.1342,0.13,0.0127,0.4954,0.004,0.0017,0.003,0.0058,0,0.1438,0.005,0.001,0.0002
P320,3,0.0011,0.0013,0.0076,0.0305,0.0001,0.0072,0,0.0013,1.4686,0.005,0.0017,0.0021,0.2336,0.0002,0.0001,0.0022,0.0043,0,0.3242,0.0103,0,0
P323,3,0.0005,0.0007,0.0049,0.0337,0.0001,0,0,0.0008,0.5346,0.0047,0,0.0006,0.0706,0.0002,0,0.002,0.0038,0.001,0.0384,0.0024,0.0003,0.0016
P326,3,0.0005,0.0007,0.0049,0.0337,0.0001,0,0,0.0008,0.5346,0.0047,0,0.0006,0.0706,0.0002,0,0.002,0.0038,0.001,0.0384,0.0024,0.0003,0.0016
P329,3,0.0005,0.0007,0.0049,0.0337,0.0001,0,0,0.0008,0.5346,0.0047,0,0.0006,0.0706,0.0002,0,0.002,0.0038,0.001,0.0384,0.0024,0.0003,0.0016
P336,3,0.0203,0.0031,0.0225,0.0541,0.0036,0.02,0.0002,0.0127,0,0.2866,0.1403,0.0231,0.6718,0.0059,0.0018,0.0013,0.0026,0,0.0806,0.0052,0.0024,0
P339,3,0.0203,0.0031,0.0225,0.0541,0.0036,0.02,0.0002,0.0127,0,0.2866,0.1403,0.0231,0.6718,0.0059,0.0018,0.0013,0.0026,0,0.0806,0.0052,0.0024,0
P345,3,0.0038,0.0008,0,0.0263,0.0006,0.0088,0.0001,0.0027,0.5372,0.0324,0.029,0.0052,0,0.0024,0.0004,0.0005,0.0009,0.0023,0.0235,0.0016,0.002,0
P349,3,0.0072,0.0012,0,0.0223,0.0018,0.0169,0.0002,0.006,0.947,0.0707,0.0785,0.0175,0,0.0085,0.0008,0.0005,0.0008,0,0.0203,0.0013,0.0007,0.0009
P6,4,0.0023,0.014,0.0306,0.015,0.0001,0.001,0.0001,0.0018,0.0001,0.0457,0.0001,0.002,0.3265,0.0009,0.0027,0.0002,0.0011,0,0.0245,0.0022,0.0004,0
P10,4,0.0017,0.0024,0.0131,0.0443,0.0002,0.0139,0,0.0012,0.2923,0.017,0.0022,0.0019,0.2189,0.0007,0.0007,0.0003,0.0019,0,0.0512,0.0038,0.0019,0.0002
P37,4,0.0037,0.0003,0,0.0501,0.001,0.0046,0,0.0028,0.9646,0.0067,0.0069,0.0024,0,0.001,0,0.0007,0.0011,0,0.033,0.0024,0,0.0004
P46,4,0.001,0.0015,0.0068,0.0446,0.0002,0.005,0,0.0015,0.13,0.0086,0.0012,0.0007,0.0725,0.0004,0.0009,0.0002,0.0013,0,0.0324,0.0022,0.0013,0.0002
P53,4,0.0059,0.0065,0.0154,0.01,0.0017,0.0077,0.0001,0.0082,0.0002,0.0206,0.019,0.0095,0.2302,0.0074,0,0.0004,0.0013,0,0.028,0.0023,0.0006,0
P58,4,0.0162,0.0061,0.0127,0.0237,0.0019,0,0,0.008,0.0001,0.023,0.0365,0.0077,0.1845,0.0065,0.0003,0.0004,0.002,0,0.0736,0.0045,0.003,0.0002
P68,4,0.0097,0.0022,0.01,0.0271,0.0017,0.0224,0.0001,0.0074,0,0.0326,0.0342,0.0083,0.1431,0.0057,0.0005,0.0022,0.0081,0,0.0985,0.0055,0.0033,0.0001
P76,4,0.0374,0.0046,0,0.0729,0.0156,0.0133,0.0006,0.0492,0.0002,0.1651,0.2768,0.0299,0,0.0228,0.001,0.0024,0.0054,0,0.1018,0.0044,0,0
P84,4,0.0172,0.0066,0.0197,0.0262,0.003,0.0093,0.0001,0.0115,0,0.0996,0.0611,0.016,0.3228,0.003,0,0.0007,0.001,0,0.0171,0.002,0,0
P102,4,0.0009,0.001,0.0002,0.2813,0.0003,0.012,0.0004,0.0026,0.9251,0.0149,0.0015,0.0024,0.0006,0.0005,0.0011,0.0005,0.001,0,0.0341,0.0021,0.0023,0
P106,4,0.033,0.0031,0,0.0531,0.0073,0.0088,0.0004,0.0273,0,0.1458,0.2143,0.0259,0.0002,0.0113,0.0007,0.0018,0.0033,0,0.0512,0.0025,0.0002,0
P110,4,0.0032,0.0008,0,0.0184,0.0006,0.0054,0,0.0038,0.9624,0.0067,0.0243,0.0027,0.0003,0.0009,0.0002,0.003,0.0057,0,0.0741,0.0039,0,0.0021
P115,4,0.0361,0.0044,0,0.0852,0.0055,0.0238,0.0004,0.0217,0.0005,0.3704,0.2294,0.0358,0,0.0149,0.0012,0.0041,0.0078,0,0.2709,0.0076,0,0
P120,4,0.0048,0.0038,0.0266,0.2515,0.0016,0.0176,0.0001,0.0067,0.0001,0.0348,0.422,0.0169,1.2665,0.0024,0.0013,0.0009,0.0017,0,0.1242,0.0046,0,0.0022
P126,4,0.025,0.0016,0.0222,0.0715,0.0029,0.0181,0,0.01,0,0.1705,0.1029,0.0204,0.8385,0.0058,0.0003,0.001,0.0022,0,0.0827,0.0043,0.0026,0.0011
P132,4,0.0331,0.0045,0,0.0585,0.0223,0.0379,0.0007,0.0589,0,0.1651,0.0651,0.0294,0.0001,0.0189,0.0006,0.0013,0.0023,0,0.0536,0.0039,0,0.0017
P137,4,0.0007,0.0015,0.0001,0.0367,0.0002,0,0,0.0009,0.2105,0.03,0.0024,0.002,0.0004,0.0012,0.0008,0.0004,0.0023,0,0.0714,0.0042,0.0029,0.0006
P144,4,0.0217,0.0044,0.0002,0.0333,0.0028,0,0.0115,0.0119,0.0012,0.0051,0.0342,0.0044,0,0.004,0.0009,0.0003,0.0016,0.0035,0.0478,0.0031,0.0024,0.0005
P288,4,0.0007,0,0.0001,0.0242,0.0002,0.0063,0,0.0007,0.3963,0.005,0.0007,0.0016,0,0.0009,0,0.0009,0.0036,0,0.0291,0.0022,0.0009,0
P11,5,0.0017,0.0024,0.0131,0.0443,0.0002,0.0139,0,0.0012,0.2923,0.017,0.0022,0.0019,0.2189,0.0007,0.0007,0.0003,0.0019,0,0.0512,0.0038,0.0019,0.0002
P47,5,0.001,0.0015,0.0068,0.0446,0.0002,0.005,0,0.0015,0.13,0.0086,0.0012,0.0007,0.0725,0.0004,0.0009,0.0002,0.0013,0,0.0324,0.0022,0.0013,0.0002
P54,5,0.0059,0.0065,0.0154,0.01,0.0017,0.0077,0.0001,0.0082,0.0002,0.0206,0.019,0.0095,0.2302,0.0074,0,0.0004,0.0013,0,0.028,0.0023,0.0006,0
P77,5,0.0374,0.0046,0,0.0729,0.0156,0.0133,0.0006,0.0492,0.0002,0.1651,0.2768,0.0299,0,0.0228,0.001,0.0024,0.0054,0,0.1018,0.0044,0,0
P111,5,0.0032,0.0008,0,0.0184,0.0006,0.0054,0,0.0038,0.9624,0.0067,0.0243,0.0027,0.0003,0.0009,0.0002,0.003,0.0057,0,0.0741,0.0039,0,0.0021
P116,5,0.0361,0.0044,0,0.0852,0.0055,0.0238,0.0004,0.0217,0.0005,0.3704,0.2294,0.0358,0,0.0149,0.0012,0.0041,0.0078,0,0.2709,0.0076,0,0
P127,5,0.025,0.0016,0.0222,0.0715,0.0029,0.0181,0,0.01,0,0.1705,0.1029,0.0204,0.8385,0.0058,0.0003,0.001,0.0022,0,0.0827,0.0043,0.0026,0.0011
P138,5,0.0007,0.0015,0.0001,0.0367,0.0002,0,0,0.0009,0.2105,0.03,0.0024,0.002,0.0004,0.0012,0.0008,0.0004,0.0023,0,0.0714,0.0042,0.0029,0.0006
P145,5,0.0217,0.0044,0.0002,0.0333,0.0028,0,0.0115,0.0119,0.0012,0.0051,0.0342,0.0044,0,0.004,0.0009,0.0003,0.0016,0.0035,0.0478,0.0031,0.0024,0.0005